paper_order_id,signal_date,planned_order_date,side,ts_code,name,planned_action,order_status,planned_position_pct,planned_equity,planned_amount_by_equity,reference_price,estimated_shares,round_lot_shares,risk_flags,manual_review_required,manual_review_status,manual_review_reason,live_order_enabled
PLAN-20250729-300528.SZ-B,20250729,20250730,BUY,300528.SZ,幸福蓝海,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,5709969.1762465965,4567975.340997278,22.51,202930.93473999455,202900,无,False,NOT_REQUIRED,,False
PLAN-20250902-920274.BJ-B,20250902,20250903,BUY,920274.BJ,宏裕包材,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,5837235.321948162,4669788.25755853,38.36,121735.87741289182,121700,无,False,NOT_REQUIRED,,False
PLAN-20250908-301538.SZ-B,20250908,20250909,BUY,301538.SZ,骏鼎达,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,8744493.521606732,6995594.817285386,91.25,76664.05279216862,76600,无,False,NOT_REQUIRED,,False
PLAN-20251010-300260.SZ-B,20251010,20251013,BUY,300260.SZ,新莱应材,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,8688600.15408378,6950880.123267024,60.22,115424.77786893099,115400,无,False,NOT_REQUIRED,,False
PLAN-20251014-301323.SZ-B,20251014,20251015,BUY,301323.SZ,新莱福,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,10340678.80996174,8272543.0479693925,83.23,99393.76484403931,99300,无,False,NOT_REQUIRED,,False
PLAN-20251017-300300.SZ-B,20251017,20251020,BUY,300300.SZ,海峡创新,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,9602264.252679924,7681811.402143939,5.83,1317634.8888754612,1317600,无,False,NOT_REQUIRED,,False
PLAN-20251021-301231.SZ-B,20251021,20251022,BUY,301231.SZ,荣信文化,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,9915599.026960954,7932479.221568763,32.57,243551.71082495435,243500,无,False,NOT_REQUIRED,,False
PLAN-20251028-920748.BJ-B,20251028,20251029,BUY,920748.BJ,路桥信息,PLAN_BUY_T1_OPEN,REVIEW_REQUIRED_PLAN_ONLY,0.8,11167834.263763478,8934267.411010783,59.77,149477.45375624532,149400,LOSS_OVERLAY_WATCH,True,PENDING_MANUAL_REVIEW,命中 LOSS_OVERLAY_WATCH，模拟买入前需要人工复核。,False
PLAN-20251031-300204.SZ-B,20251031,20251103,BUY,300204.SZ,舒泰神,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,10859514.84855413,8687611.878843306,40.0,217190.29697108263,217100,无,False,NOT_REQUIRED,,False
PLAN-20251104-300402.SZ-B,20251104,20251105,BUY,300402.SZ,宝色股份,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,10405408.168287223,8324326.534629779,26.0,320166.40517806844,320100,无,False,NOT_REQUIRED,,False
PLAN-20251106-300437.SZ-B,20251106,20251107,BUY,300437.SZ,清水源,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,10414855.75755414,8331884.606043313,12.12,687449.2249210655,687400,无,False,NOT_REQUIRED,,False
PLAN-20251110-300997.SZ-B,20251110,20251111,BUY,300997.SZ,欢乐家,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,14077480.864248857,11261984.691399086,24.05,468273.79174216575,468200,无,False,NOT_REQUIRED,,False
PLAN-20251120-301092.SZ-B,20251120,20251121,BUY,301092.SZ,争光股份,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,15847995.739096723,12678396.59127738,39.0,325087.0920840354,325000,无,False,NOT_REQUIRED,,False
PLAN-20251125-301117.SZ-B,20251125,20251126,BUY,301117.SZ,佳缘科技,PLAN_BUY_T1_OPEN,REVIEW_REQUIRED_PLAN_ONLY,0.8,15047440.836661972,12037952.669329578,52.03,231365.60963539453,231300,LOSS_OVERLAY_WATCH,True,PENDING_MANUAL_REVIEW,命中 LOSS_OVERLAY_WATCH，模拟买入前需要人工复核。,False
PLAN-20251204-300946.SZ-B,20251204,20251205,BUY,300946.SZ,恒而达,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,14154901.314009275,11323921.051207421,57.5,196937.75741230298,196900,无,False,NOT_REQUIRED,,False
PLAN-20251212-920576.BJ-B,20251212,20251215,BUY,920576.BJ,天力复合,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,14567869.846436018,11654295.877148814,66.0,176580.24056286082,176500,无,False,NOT_REQUIRED,,False
PLAN-20251219-300557.SZ-B,20251219,20251222,BUY,300557.SZ,理工光科,PLAN_BUY_T1_OPEN,REVIEW_REQUIRED_PLAN_ONLY,0.8,17209219.52917081,13767375.62333665,41.54,331424.5455786387,331400,LOSS_OVERLAY_WATCH,True,PENDING_MANUAL_REVIEW,命中 LOSS_OVERLAY_WATCH，模拟买入前需要人工复核。,False
PLAN-20251231-300058.SZ-B,20251231,20260105,BUY,300058.SZ,蓝色光标,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,15363355.87351056,12290684.698808448,11.7,1050485.8716930298,1050400,无,False,NOT_REQUIRED,,False
PLAN-20260115-301629.SZ-B,20260115,20260116,BUY,301629.SZ,矽电股份,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,17373726.669405587,13898981.33552447,350.01,39710.240666050886,39700,无,False,NOT_REQUIRED,,False
PLAN-20260119-300658.SZ-B,20260119,20260120,BUY,300658.SZ,延江股份,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,16785949.861014783,13428759.888811827,19.04,705292.0109670077,705200,无,False,NOT_REQUIRED,,False
PLAN-20260123-920368.BJ-B,20260123,20260126,BUY,920368.BJ,连城数控,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,17929365.74343622,14343492.594748978,52.0,275836.39605286496,275800,无,False,NOT_REQUIRED,,False
PLAN-20260128-300164.SZ-B,20260128,20260129,BUY,300164.SZ,通源石油,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,19772016.60324342,15817613.282594739,12.14,1302933.548813405,1302900,无,False,NOT_REQUIRED,,False
PLAN-20260226-300499.SZ-B,20260226,20260227,BUY,300499.SZ,高澜股份,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,20677032.857668284,16541626.286134629,38.0,435305.9548982797,435300,无,False,NOT_REQUIRED,,False
PLAN-20260309-301606.SZ-B,20260309,20260310,BUY,301606.SZ,绿联科技,PLAN_BUY_T1_OPEN,REVIEW_REQUIRED_PLAN_ONLY,0.8,21078061.595341414,16862449.27627313,90.02,187318.92108723763,187300,LOSS_OVERLAY_WATCH,True,PENDING_MANUAL_REVIEW,命中 LOSS_OVERLAY_WATCH，模拟买入前需要人工复核。,False
PLAN-20260327-300204.SZ-B,20260327,20260330,BUY,300204.SZ,舒泰神,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,20009527.90491473,16007622.323931783,28.45,562658.0781698342,562600,无,False,NOT_REQUIRED,,False
PLAN-20260409-300489.SZ-B,20260409,20260410,BUY,300489.SZ,光智科技,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,20805143.735078897,16644114.98806312,61.39,271120.9478426962,271100,无,False,NOT_REQUIRED,,False
PLAN-20260414-301189.SZ-B,20260414,20260415,BUY,301189.SZ,奥尼电子,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,22524954.090514462,18019963.27241157,84.59,213027.1104434516,213000,无,False,NOT_REQUIRED,,False
PLAN-20260417-301319.SZ-B,20260417,20260420,BUY,301319.SZ,唯特偶,PLAN_BUY_T1_OPEN,PLAN_ONLY,0.8,21736463.179192256,17389170.543353807,68.87,252492.67523382904,252400,无,False,NOT_REQUIRED,,False
