paper_execution_id,signal_date,event_date,side,ts_code,name,execution_status,price,amount,account_return,equity_before,equity_after,message
EXEC-20260128-300164.SZ-SELL,20260128,20260130,SELL,300164.SZ,通源石油,HISTORICAL_SIM_FILLED,12.86712,16765019.089627031,0.0457725821591917,19772016.60324342,20677032.857668284,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20260226-300499.SZ-BUY,20260226,20260227,BUY,300499.SZ,高澜股份,HISTORICAL_SIM_FILLED,38.038,16541626.286134629,0.0,20677032.857668284,20677032.857668284,使用本地审计记录生成历史模拟买入成交。
EXEC-20260226-300499.SZ-SELL,20260226,20260302,SELL,300499.SZ,高澜股份,HISTORICAL_SIM_FILLED,39.0218,17003459.377145592,0.0193948880593092,20677032.857668284,21078061.595341414,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20260309-301606.SZ-BUY,20260309,20260310,BUY,301606.SZ,绿联科技,HISTORICAL_SIM_FILLED,90.20004,16862449.276273135,0.0,21078061.595341414,21078061.595341414,使用本地审计记录生成历史模拟买入成交。
EXEC-20260309-301606.SZ-SELL,20260309,20260311,SELL,301606.SZ,绿联科技,HISTORICAL_SIM_FILLED,84.6304,15852938.63093588,-0.0506941155662459,21078061.595341414,20009527.90491473,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20260327-300204.SZ-BUY,20260327,20260330,BUY,300204.SZ,舒泰神,HISTORICAL_SIM_FILLED,28.5069,16007622.323931783,0.0,20009527.90491473,20009527.90491473,使用本地审计记录生成历史模拟买入成交。
EXEC-20260327-300204.SZ-SELL,20260327,20260331,SELL,300204.SZ,舒泰神,HISTORICAL_SIM_FILLED,29.96994,16862896.29485042,0.0397618491523106,20009527.90491473,20805143.735078897,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20260409-300489.SZ-BUY,20260409,20260410,BUY,300489.SZ,光智科技,HISTORICAL_SIM_FILLED,61.51278,16644114.98806312,0.0,20805143.735078897,20805143.735078897,使用本地审计记录生成历史模拟买入成交。
EXEC-20260409-300489.SZ-SELL,20260409,20260413,SELL,300489.SZ,光智科技,HISTORICAL_SIM_FILLED,67.96845,18483305.336461656,0.0826627480845445,20805143.735078897,22524954.090514462,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20260414-301189.SZ-BUY,20260414,20260415,BUY,301189.SZ,奥尼电子,HISTORICAL_SIM_FILLED,85.01294999999999,18019963.272411577,0.0,22524954.090514462,22524954.090514462,使用本地审计记录生成历史模拟买入成交。
EXEC-20260414-301189.SZ-SELL,20260414,20260416,SELL,301189.SZ,奥尼电子,HISTORICAL_SIM_FILLED,81.4308,17347401.71014138,-0.0350052172427846,22524954.090514462,21736463.179192256,使用本地审计记录生成历史模拟卖出和资金更新。
EXEC-20260417-301319.SZ-BUY,20260417,20260420,BUY,301319.SZ,唯特偶,HISTORICAL_SIM_FILLED,69.21435,17389170.543353807,0.0,21736463.179192256,21736463.179192256,使用本地审计记录生成历史模拟买入成交。
EXEC-20260417-301319.SZ-SELL,20260417,20260421,SELL,301319.SZ,唯特偶,HISTORICAL_SIM_FILLED,72.3789,18367899.986413177,0.0352808081329955,21736463.179192256,22503343.166107263,使用本地审计记录生成历史模拟卖出和资金更新。
