signal_date,candidate_rank,planned_action,ts_code,name,market_segment,profit_source_score,planned_position_pct,selection_reason,sort_rule,exit_rule,risk_flags,fill_probability,allow_buy_reliable,is_fill_score_reliable,fd_ratio_bucket,fd_amount_to_circ_mv,segment_limit_up_count_bucket,market_chain_count_bucket,market_limit_down_count_bucket,retreat_state_bucket,market_emotion_state_bucket,segment_emotion_state_bucket,first_time_detail_bucket,turnover_rate_bucket,amount_ratio_bucket,prev_pct_chg_bucket,amount,turnover_rate,volume_ratio,open_times,limit_times,first_time,last_time,paper_note,historical_reference_next_trade_date,historical_reference_next_open,historical_reference_exit_trade_date,historical_reference_exit_close,historical_reference_net_return,historical_reference_is_win,trade_date,d1_trade_date,d1_open,d1_high,d1_low,d1_close,d1_pre_close,d1_pct_chg,d2_trade_date,d2_open,d2_high,d2_low,d2_close,d2_pre_close,d2_pct_chg,d3_trade_date,d3_open,d3_high,d3_low,d3_close,d3_pre_close,d3_pct_chg,d4_trade_date,d4_open,d4_high,d4_low,d4_close,d4_pre_close,d4_pct_chg,d5_trade_date,d5_open,d5_high,d5_low,d5_close,d5_pre_close,d5_pct_chg,replay_rule,buy_executed,buy_reject_reason,buy_trade_date,buy_price_before_slippage,buy_price,buy_price_model,sell_executed,sell_reject_reason,exit_trade_date,exit_price_before_slippage,exit_price,exit_reason,sell_price_model,path_conflict,limit_down_blocked_days,net_return,daily_return,is_win,strict_account_return,strict_return_source
20240527,1,PLAN_BUY_T1_OPEN,603068.SH,博通集成,sh_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0080983897311819,10_20,3_8,15_30,warming_2day,warming,warming,1100_1330,10_15,2_3,gte_10,432237.34,12.1674,5.65,0.0,2.0,131358,131358,该候选只用于模拟盘计划，不代表实盘可买入。,20240528,27.16,20240529,25.8,-0.0536936377025036,False,20240527,20240528,27.16,27.67,26.21,27.67,25.15,10.0199,20240529,30.44,30.44,25.8,25.8,27.67,-6.7582,20240530,24.56,27.88,23.72,26.45,25.8,2.5194,20240531,24.7,25.76,24.29,24.29,26.45,-8.1664,20240603,23.6,24.23,22.72,23.0,24.29,-5.3108,fixed_t2_close,True,,20240528,27.16,27.18716,daily_open_plus_slippage_no_l2,True,,20240529,25.8,25.7742,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.05359159247232874,-0.042873273977862995,False,-0.042873273977862995,conservative_daily_replay
20240605,1,PLAN_BUY_T1_OPEN,002869.SZ,金溢科技,sz_main,1.5,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,2pct_5pct,0.0279587273047582,5_10,3_8,5_15,weak_below_30,ice_point,warming,open_auction,15_25,1_2_2,gte_10,674510.104,18.035,2.11,3.0,2.0,92500,94836,该候选只用于模拟盘计划，不代表实盘可买入。,20240606,24.3,20240607,22.55,-0.0756364609053497,False,20240605,20240606,24.3,25.91,23.5,25.05,23.82,5.1637,20240607,24.33,25.08,22.55,22.55,25.05,-9.98,20240611,22.4,24.15,22.0,23.57,22.55,4.5233,20240612,22.89,25.5,22.38,24.08,23.57,2.1638,20240613,24.23,25.43,23.25,24.91,24.08,3.4468,fixed_t2_close,True,,20240606,24.3,24.324299999999997,daily_open_plus_slippage_no_l2,True,,20240611,23.57,23.54643,fixed_close,daily_price_minus_slippage_no_l2,False,1,-0.03359913197913182,-0.02687930558330546,False,-0.02687930558330546,conservative_daily_replay
20240618,1,PLAN_BUY_T1_OPEN,002869.SZ,金溢科技,sz_main,2.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,2pct_5pct,0.0270426629629957,10_20,3_8,lt_5,neutral,mixed,warming,1100_1330,gte_25,1_2_2,7_10,1261821.771,26.9523,1.14,0.0,2.0,110112,110112,该候选只用于模拟盘计划，不代表实盘可买入。,20240619,33.0,20240620,36.5,0.1024406060606059,True,20240618,20240619,33.0,34.21,32.23,34.21,31.1,10.0,20240620,34.81,37.62,34.41,36.5,34.21,6.6939,20240621,35.66,39.02,35.28,37.74,36.5,3.3973,20240624,37.08,38.36,35.95,36.52,37.74,-3.2326,20240625,36.43,36.43,32.87,34.02,36.52,-6.8456,fixed_t2_close,True,,20240619,33.0,33.032999999999994,daily_open_plus_slippage_no_l2,True,,20240620,36.5,36.4635,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.10223069475978593,0.08178455580782874,True,0.08178455580782874,conservative_daily_replay
20240619,1,PLAN_BUY_T1_OPEN,600889.SH,南京化纤,sh_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.011055941348429,10_20,8_15,lt_5,retreat_weak,mixed,warming,1100_1330,10_15,3_5,0_3,252639.054,13.4713,2.29,1.0,1.0,110414,134423,该候选只用于模拟盘计划，不代表实盘可买入。,20240620,5.3,20240621,6.4,0.2039271698113209,True,20240619,20240620,5.3,5.82,5.2,5.82,5.29,10.0189,20240621,6.15,6.4,5.87,6.4,5.82,9.9656,20240624,5.76,5.94,5.76,5.76,6.4,-10.0,20240625,5.18,6.3,5.18,6.29,5.76,9.2014,20240626,5.97,6.3,5.7,5.89,6.29,-6.3593,fixed_t2_close,True,,20240620,5.3,5.305299999999999,daily_open_plus_slippage_no_l2,True,,20240621,6.4,6.3936,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.20351448815335632,0.16281159052268507,True,0.16281159052268507,conservative_daily_replay
20240626,1,PLAN_BUY_T1_OPEN,301129.SZ,瑞纳智能,chi_next,3.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,gte_5pct,0.0573806909232179,10_20,8_15,lt_5,neutral,mixed,warming,1100_1330,gte_25,2_3,gte_10,373645.901,45.9127,2.52,0.0,2.0,131451,131451,该候选只用于模拟盘计划，不代表实盘可买入。,20240627,29.77,20240628,25.24,-0.1557866106818945,False,20240626,20240627,29.77,30.08,26.77,27.77,25.07,10.7698,20240628,26.89,26.89,24.4,25.24,27.77,-9.1106,20240701,23.5,24.05,22.42,22.81,25.24,-9.6276,20240702,22.54,24.7,22.11,24.6,22.81,7.8474,20240703,23.3,23.3,21.3,21.48,24.6,-12.6829,fixed_t2_close,True,,20240627,29.77,29.799769999999995,daily_open_plus_slippage_no_l2,True,,20240628,25.24,25.21476,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.1554805834877248,-0.12438446679017985,False,-0.12438446679017985,conservative_daily_replay
20240702,1,PLAN_BUY_T1_OPEN,600421.SH,华嵘控股,sh_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0096063394683026,10_20,8_15,lt_5,warming_2day,warming,warming,1100_1330,3_6,1_2_2,neg3_0,52902.072,3.9992,0.89,1.0,1.0,132400,132550,该候选只用于模拟盘计划，不代表实盘可买入。,20240703,7.06,20240704,6.67,-0.058860793201133,False,20240702,20240703,7.06,7.45,6.8,6.92,7.05,-1.844,20240704,6.86,6.91,6.61,6.67,6.92,-3.6127,20240705,6.6,6.86,6.31,6.85,6.67,2.6987,20240708,6.78,6.8,6.34,6.61,6.85,-3.5036,20240709,6.54,6.56,6.12,6.34,6.61,-4.0847,fixed_t2_close,True,,20240703,7.06,7.067059999999999,daily_open_plus_slippage_no_l2,True,,20240704,6.67,6.66333,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.0587484239839479,-0.04699873918715833,False,-0.04699873918715833,conservative_daily_replay
20240717,1,PLAN_BUY_T1_OPEN,920146.BJ,华阳变速,bj,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,2pct_5pct,0.0426449909360384,5_10,8_15,lt_5,warming_2day,warming,warming,1100_1330,gte_25,1_2_2,gte_10,247175.088,37.2732,2.06,0.0,2.0,131504,131504,该候选只用于模拟盘计划，不代表实盘可买入。,20240718,7.75,20240719,6.5,-0.1649103225806451,False,20240717,20240718,7.75,8.0,6.55,6.85,7.51,-8.7883,20240719,6.88,7.3,6.33,6.5,6.85,-5.1095,20240722,6.0,6.25,5.57,5.66,6.5,-12.9231,20240723,5.75,6.1,5.47,5.58,5.66,-1.4134,20240724,5.58,6.96,5.39,6.59,5.58,18.1004,fixed_t2_close,True,,20240718,7.75,7.757749999999999,daily_open_plus_slippage_no_l2,True,,20240719,6.5,6.4935,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.1645860661918725,-0.131668852953498,False,-0.131668852953498,conservative_daily_replay
20240718,1,PLAN_BUY_T1_OPEN,600171.SH,上海贝岭,sh_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.0148219136755312,10_20,3_8,lt_5,warming_2day,warming,warming,1100_1330,10_15,1_2_2,lt_neg3,1825681.921,13.2848,1.12,0.0,1.0,131345,131345,该候选只用于模拟盘计划，不代表实盘可买入。,20240719,21.5,20240722,24.56,0.1387055813953487,True,20240718,20240719,21.5,22.55,21.25,22.55,20.5,10.0,20240722,24.0,24.81,23.9,24.56,22.55,8.9135,20240723,24.56,25.25,23.55,23.85,24.56,-2.8909,20240724,23.75,24.28,21.5,21.72,23.85,-8.9308,20240725,21.51,22.07,21.03,21.4,21.72,-1.4733,fixed_t2_close,True,,20240719,21.5,21.521499999999996,daily_open_plus_slippage_no_l2,True,,20240722,24.56,24.535439999999998,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.1384232126013522,0.11073857008108177,True,0.11073857008108177,conservative_daily_replay
20240726,1,PLAN_BUY_T1_OPEN,000338.SZ,潍柴动力,sz_main,1.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_1pct_0_3pct,0.001367137929036,20_40,8_15,lt_5,warming_2day,warming,warming,1100_1330,3_6,3_5,neg3_0,2077771.176,3.0038,2.5,0.0,1.0,132515,132515,该候选只用于模拟盘计划，不代表实盘可买入。,20240729,14.4,20240730,13.35,-0.0765366666666667,False,20240726,20240729,14.4,14.49,13.55,13.87,14.14,-1.9095,20240730,13.79,13.9,13.26,13.35,13.87,-3.7491,20240731,13.31,13.88,13.25,13.8,13.35,3.3708,20240801,13.6,13.83,13.41,13.49,13.8,-2.2464,20240802,13.36,13.46,13.03,13.1,13.49,-2.891,fixed_t2_close,True,,20240729,14.4,14.414399999999999,daily_open_plus_slippage_no_l2,True,,20240730,13.35,13.336649999999999,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.07638898101898099,-0.061111184815184794,False,-0.061111184815184794,conservative_daily_replay
20240729,1,PLAN_BUY_T1_OPEN,300159.SZ,新研股份,chi_next,1.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,LOSS_OVERLAY_WATCH,1.0,True,True,0_3pct_0_5pct,0.0041689823816035,10_20,15_30,lt_5,warming_2day,warming,warming,1100_1330,15_25,2_3,gte_10,743433.705,20.9938,5.77,2.0,2.0,131248,142918,该候选只用于模拟盘计划，不代表实盘可买入。,20240730,2.57,20240731,2.57,-0.00362,False,20240729,20240730,2.57,2.94,2.43,2.62,2.59,1.1583,20240731,2.49,2.72,2.4,2.57,2.62,-1.9084,20240801,2.56,2.78,2.51,2.7,2.57,5.0584,20240802,2.6,2.65,2.43,2.44,2.7,-9.6296,20240805,2.45,2.93,2.45,2.8,2.44,14.7541,fixed_t2_close,True,,20240730,2.57,2.5725699999999994,daily_open_plus_slippage_no_l2,True,,20240731,2.57,2.56743,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.0036180019980018192,-0.0028944015984014556,False,-0.0028944015984014556,conservative_daily_replay
20240730,1,PLAN_BUY_T1_OPEN,603716.SH,塞力医疗,sh_main,3.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_1pct_0_3pct,0.0017181315960759,20_40,15_30,lt_5,neutral,mixed,warming,1100_1330,gte_25,2_3,7_10,386224.14,28.1565,1.96,6.0,2.0,132406,145006,该候选只用于模拟盘计划，不代表实盘可买入。,20240731,6.64,20240801,7.05,0.0581269879518073,True,20240730,20240731,6.64,7.25,6.5,6.82,7.14,-4.4818,20240801,6.82,7.3,6.63,7.05,6.82,3.3724,20240802,6.85,7.49,6.69,7.13,7.05,1.1348,20240805,6.79,6.85,6.42,6.42,7.13,-9.9579,20240806,6.39,6.85,6.1,6.74,6.42,4.9844,fixed_t2_close,True,,20240731,6.64,6.646639999999999,daily_open_plus_slippage_no_l2,True,,20240801,7.05,7.042949999999999,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.05800561534850708,0.046404492278805665,True,0.046404492278805665,conservative_daily_replay
20240815,1,PLAN_BUY_T1_OPEN,301182.SZ,凯旺科技,chi_next,2.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,gte_5pct,0.0646786223614674,10_20,8_15,lt_5,neutral,mixed,warming,1100_1330,gte_25,1_2_2,3_7,350548.409,45.1156,2.18,1.0,1.0,131533,135400,该候选只用于模拟盘计划，不代表实盘可买入。,20240816,23.76,20240819,22.69,-0.04865367003367,False,20240815,20240816,23.76,28.36,23.76,28.36,23.63,20.0169,20240819,27.39,27.4,22.69,22.69,28.36,-19.9929,20240820,21.0,22.39,20.82,21.45,22.69,-5.465,20240821,21.39,21.81,20.62,20.68,21.45,-3.5897,20240822,20.91,21.66,20.11,21.29,20.68,2.9497,fixed_t2_close,True,,20240816,23.76,23.783759999999997,daily_open_plus_slippage_no_l2,True,,20240820,21.45,21.428549999999998,fixed_close,daily_price_minus_slippage_no_l2,False,1,-0.10064597402597401,-0.08051677922077921,False,-0.08051677922077921,conservative_daily_replay
20240816,1,PLAN_BUY_T1_OPEN,300460.SZ,惠伦晶体,chi_next,2.3,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.018093743175083,10_20,8_15,5_15,retreat_weak,mixed,warming,1100_1330,15_25,2_3,3_7,557741.172,19.5241,4.03,0.0,1.0,131442,131442,该候选只用于模拟盘计划，不代表实盘可买入。,20240819,11.11,20240820,10.89,-0.0234219801980197,False,20240816,20240819,11.11,12.5,11.05,11.59,11.04,4.9819,20240820,10.56,11.46,10.56,10.89,11.59,-6.0397,20240821,11.0,12.0,10.87,10.94,10.89,0.4591,20240822,10.8,11.35,10.32,10.38,10.94,-5.1188,20240823,10.27,11.38,10.27,11.03,10.38,6.262,fixed_t2_close,True,,20240819,11.11,11.121109999999998,daily_open_plus_slippage_no_l2,True,,20240820,10.89,10.87911,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.02338041780002147,-0.018704334240017176,False,-0.018704334240017176,conservative_daily_replay
20240829,1,PLAN_BUY_T1_OPEN,603666.SH,亿嘉和,sh_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0057215714609312,10_20,8_15,lt_5,warming_2day,warming,warming,1100_1330,10_15,1_2_2,7_10,472323.855,12.6569,1.24,4.0,2.0,111145,111600,该候选只用于模拟盘计划，不代表实盘可买入。,20240830,19.25,20240902,17.15,-0.1127109090909091,False,20240829,20240830,19.25,20.77,17.77,19.05,18.88,0.9004,20240902,18.2,18.58,17.15,17.15,19.05,-9.9738,20240903,17.0,17.55,16.66,17.3,17.15,0.8746,20240904,16.78,17.08,15.95,16.19,17.3,-6.4162,20240905,16.38,16.74,16.3,16.44,16.19,1.5442,fixed_t2_close,True,,20240830,19.25,19.26925,daily_open_plus_slippage_no_l2,True,,20240903,17.3,17.282700000000002,fixed_close,daily_price_minus_slippage_no_l2,False,1,-0.10471430828911336,-0.0837714466312907,False,-0.0837714466312907,conservative_daily_replay
20240830,1,PLAN_BUY_T1_OPEN,603883.SH,老百姓,sh_main,1.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_5pct_1pct,0.0051383520025446,20_40,8_15,lt_5,warming_2day,warming,warming,1100_1330,3_6,2_3,0_3,534857.98,5.5423,3.09,0.0,1.0,132400,132400,该候选只用于模拟盘计划，不代表实盘可买入。,20240902,13.44,20240903,13.46,-0.0021319047619046,False,20240830,20240902,13.44,13.44,12.24,12.24,13.5,-9.3333,20240903,12.23,13.46,12.13,13.46,12.24,9.9673,20240904,14.68,14.81,14.58,14.81,13.46,10.0297,20240905,16.29,16.29,16.29,16.29,14.81,9.9932,20240906,17.92,17.92,17.92,17.92,16.29,10.0061,fixed_t2_close,True,,20240902,13.44,13.453439999999999,daily_open_plus_slippage_no_l2,True,,20240903,13.46,13.44654,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.0021328799771655367,-0.0017063039817324295,False,-0.0017063039817324295,conservative_daily_replay
20240924,1,PLAN_BUY_T1_OPEN,601595.SH,上海电影,sh_main,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_1pct_0_3pct,0.0018817492190986,40_80,8_15,lt_5,warming_2day,warming,warming,1100_1330,3_6,3_5,neg3_0,442962.111,5.2542,3.39,8.0,1.0,132614,144005,该候选只用于模拟盘计划，不代表实盘可买入。,20240925,19.85,20240926,21.4,0.0744656423173801,True,20240924,20240925,19.85,21.31,19.6,20.96,19.37,8.2086,20240926,20.78,21.5,20.42,21.4,20.96,2.0992,20240927,21.53,23.42,21.24,23.41,21.4,9.3925,20240930,24.1,25.44,23.52,25.3,23.41,8.0735,20241008,27.6,27.78,23.89,25.88,25.3,2.2925,fixed_t2_close,True,,20240925,19.85,19.86985,daily_open_plus_slippage_no_l2,True,,20240926,21.4,21.3786,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.07431162505001283,0.05944930004001027,True,0.05944930004001027,conservative_daily_replay
20240927,1,PLAN_BUY_T1_OPEN,301169.SZ,零点有数,chi_next,2.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,2pct_5pct,0.0243402632920832,20_40,gte_30,lt_5,neutral,main_rise,warming,1100_1330,gte_25,2_3,0_3,496990.928,47.5183,2.55,4.0,1.0,130033,144224,该候选只用于模拟盘计划，不代表实盘可买入。,20240930,42.0,20241008,57.48,0.3649514285714285,True,20240927,20240930,42.0,47.9,41.0,47.9,39.92,19.99,20241008,56.98,57.48,48.01,57.48,47.9,20.0,20241009,52.0,56.96,47.8,48.92,57.48,-14.8921,20241010,54.5,56.3,49.0,49.42,48.92,1.0221,20241011,42.51,46.13,41.61,43.7,49.42,-11.5743,fixed_t2_close,True,,20240930,42.0,42.041999999999994,daily_open_plus_slippage_no_l2,True,,20241008,57.48,57.42252,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.36421702012273455,0.2913736160981876,True,0.2913736160981876,conservative_daily_replay
20240930,1,PLAN_BUY_T1_OPEN,300333.SZ,兆日科技,chi_next,2.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,无,1.0,True,True,0_3pct_0_5pct,0.0032513761944274,gte_80,gte_30,lt_5,neutral,climax,warming,1100_1330,gte_25,1_2_2,7_10,923586.702,31.431,1.28,4.0,1.0,130039,143700,该候选只用于模拟盘计划，不代表实盘可买入。,20241008,11.23,20241009,12.05,0.0693986999109527,True,20240930,20241008,11.23,11.23,10.53,11.23,9.36,19.9786,20241009,11.23,13.46,10.27,12.05,11.23,7.3019,20241010,11.41,12.06,9.64,10.39,12.05,-13.7759,20241011,9.85,11.06,9.85,10.43,10.39,0.385,20241014,10.62,11.46,9.88,11.46,10.43,9.8754,fixed_t2_close,False,open_limit_up_unbuyable,20241008,11.23,,daily_open_limit_up_queue_rejected,False,,,,,no_buy,,False,0,0.0,0.0,False,0.0,conservative_daily_replay
20241008,1,PLAN_BUY_T1_OPEN,920099.BJ,瑞华技术,bj,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.012458017279352,40_80,gte_30,lt_5,warming_2day,warming,warming,1100_1330,gte_25,1_2_2,gte_10,341230.333,55.4575,0.0,4.0,1.0,130431,140710,该候选只用于模拟盘计划，不代表实盘可买入。,20241009,36.0,20241010,33.28,-0.0791755555555554,False,20241008,20241009,36.0,44.88,34.3,36.7,39.18,-6.3298,20241010,36.77,38.49,28.88,33.28,36.7,-9.3188,20241011,33.4,35.46,28.09,30.32,33.28,-8.8942,20241014,29.5,32.2,28.38,30.66,30.32,1.1214,20241015,30.66,32.03,29.52,29.65,30.66,-3.2942,fixed_t2_close,True,,20241009,36.0,36.035999999999994,daily_open_plus_slippage_no_l2,True,,20241010,33.28,33.24672,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.07902259740259714,-0.06321807792207772,False,-0.06321807792207772,conservative_daily_replay
20241018,1,PLAN_BUY_T1_OPEN,920346.BJ,威贸电子,bj,2.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,1pct_2pct,0.0156421274339696,10_20,15_30,lt_5,neutral,main_rise,warming,1100_1330,gte_25,2_3,3_7,258833.65,52.3099,3.66,4.0,1.0,130045,145248,该候选只用于模拟盘计划，不代表实盘可买入。,20241021,21.78,20241022,22.62,0.0349474931129476,True,20241018,20241021,21.78,25.97,21.77,25.97,19.98,29.98,20241022,28.9,28.9,20.22,22.62,25.97,-12.8995,20241023,21.53,25.17,21.1,23.49,22.62,3.8462,20241024,22.97,24.97,22.8,24.08,23.49,2.5117,20241025,24.8,27.99,23.52,23.75,24.08,-1.3704,fixed_t2_close,True,,20241021,21.78,21.801779999999997,daily_open_plus_slippage_no_l2,True,,20241022,22.62,22.59738,fixed_close,daily_price_minus_slippage_no_l2,False,0,0.0348724331866483,0.027897946549318643,True,0.027897946549318643,conservative_daily_replay
20241021,1,PLAN_BUY_T1_OPEN,920926.BJ,鸿智科技,bj,0.8,0.8,segment_emotion_state_bucket=warming;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:amount_ratio_bucket=0_8_1_2;exclude:market_segment=star;exclude:prev_pct_chg_bucket=0_3&&market_segment=bj,profit_source_oos_resilient,fixed_t2_close,封单/流通市值偏高,1.0,True,True,2pct_5pct,0.029181894442268,20_40,gte_30,lt_5,warming_2day,warming,warming,1100_1330,gte_25,1_2_2,3_7,176884.648,58.7106,1.56,1.0,1.0,112209,141836,该候选只用于模拟盘计划，不代表实盘可买入。,20241022,20.5,20241023,19.38,-0.0582541463414634,False,20241021,20241022,20.5,23.23,18.3,19.97,20.54,-2.7751,20241023,19.0,20.38,18.66,19.38,19.97,-2.9544,20241024,19.45,20.3,19.0,20.0,19.38,3.1992,20241025,19.95,21.49,18.8,18.81,20.0,-5.95,20241028,18.57,19.38,17.51,18.94,18.81,0.6911,fixed_t2_close,True,,20241022,20.5,20.5205,daily_open_plus_slippage_no_l2,True,,20241023,19.38,19.360619999999997,fixed_close,daily_price_minus_slippage_no_l2,False,0,-0.05814298920591614,-0.04651439136473291,False,-0.04651439136473291,conservative_daily_replay
